"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:6lU4BQWZomCWRfKSowfezE","Emotions","spotify:artist:5pVRwX5ZQR7hfJ18w8ZYkl","Ufo361","spotify:album:4UUOJrs6MUmkshzvSbKpAg","Rich Rich","1","8","146012","","2020-05-04T14:50:32Z"
"spotify:track:01eVMUiJcYmHqy1HUURwOY","Wünsch mir was","spotify:artist:2P7AfQW941UU324qq2ggZf","METRICKZ","spotify:album:7gkyr2RLvlijFDtzXtXnz1","Mufasa","1","4","195859","","2020-05-02T15:04:47Z"
"spotify:track:3ZdDYeaZzeYnrP4crgXzPk","90-60-111","spotify:artist:0JBdTCGs111JKKYfLqOEBa","SHIRIN DAVID","spotify:album:2nOGU9W628Yj17hztw8SAf","90-60-111","1","1","141386","","2020-05-01T14:55:29Z"
"spotify:track:7FpW9V6XATqH6z7jhqQjlp","Olé Olé","spotify:artist:4WZGDpNwrC0vNQyl9QzF7d, spotify:artist:0Dvx6p8JDyzeOPGmaCIH1L, spotify:artist:03bmDyr8klGV17DKQnPZVA","Capital Bra, RAF Camora, Joshi Mizu","spotify:album:2MMExkqjqjzLeR5Q3yhMz9","Olé Olé","1","1","152362","","2020-04-29T13:40:48Z"
"spotify:track:4QnC1bIaMSfDQvF4XDhV5M","Boyfriend","spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","Selena Gomez","spotify:album:3rA5CgccCbmCnJEzwGnDea","Rare (Deluxe)","1","1","161188","","2020-04-26T12:05:35Z"
"spotify:track:72Bz4ciRZPBcVSw0nrZDHi","Do It Again","spotify:artist:1BhWF9W2PngtPSyobKg0rP, spotify:artist:7bXgB6jMjp9ATFy66eO08Z, spotify:artist:5LHRHt1k9lMyONurDHEdrp","Pia Mia, Chris Brown, Tyga","spotify:album:3kBBntDYL62xlqgnulskwv","Do It Again","1","1","207746","","2020-04-22T17:33:51Z"
"spotify:track:76nqCfJOcFFWBJN32PAksn","Kings & Queens","spotify:artist:4npEfmQ6YuiwW1GpUmaq3F","Ava Max","spotify:album:6yUkGEJftbJl1QPvz4WTjO","Kings & Queens","1","1","162398","","2020-04-22T17:31:01Z"
"spotify:track:1M3TOFSaxwDJ7Y284D8lXt","Heads Will Roll (A-Trak Remix)","spotify:artist:3TNt4aUIxgfy9aoaft5Jj2","Yeah Yeah Yeahs","spotify:album:0wjkEw9EVIqoq6A9UdhfwY","Dance Mix USA (Mixed by Louie Devito) [Continuous DJ Mix]","2","15","310120","","2019-06-02T07:01:25Z"
"spotify:track:5hqelGWfhBo8On7e7Kk5HD","Magisch","spotify:artist:2Z9KL8Zmqx5Sg3cd7Fldhl, spotify:artist:7jkdo74SDT1PYu6Ksbusxa","Olexesh, Edin","spotify:album:6OVnLHxoSlDsbOmKTmdBrz","Magisch","1","1","247708","","2018-03-24T07:28:46Z"
"spotify:track:2ARqIya5NAuvFVHSN3bL0m","The Middle","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:6WY7D3jk8zTrHtmkqqo5GI, spotify:artist:4lDBihdpMlOalxy1jkUbPl","Zedd, Maren Morris, Grey","spotify:album:1D8u1ccrRXyFMOGTEXTgTX","The Middle","1","1","184732","","2018-02-06T17:11:11Z"
"spotify:track:57W0BeadXDvfEd9GzjKfpv","Everytime We Touch - B3nte Remix","spotify:artist:0N0d3kjwdY2h7UVuTdJGfp, spotify:artist:2ykUp1K8tRaOUFd8vvcwXl","Cascada, B3nte","spotify:album:76ab3M3nmAGLhCk9iaR3Dc","Everytime We Touch (B3nte Remix)","1","1","185183","","2018-01-28T12:38:40Z"
"spotify:track:1Sl3njkhhz8nrSPZroDQ82","Complicated (feat. Kiiara)","spotify:artist:73jBynjsVtofjRpdpRAJGk, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:2HkAI0YrEcgoR8QdaURqhO, spotify:artist:4u5smJBskI6Adzv08PuiUP","Dimitri Vegas & Like Mike, David Guetta, Dimitri Vegas, Kiiara","spotify:album:6SgTiW8a5BHFXbR03BteCd","Complicated (feat. Kiiara)","1","1","184247","","2017-08-31T16:03:13Z"
"spotify:track:3bidbhpOYeV4knp8AIu8Xn","Can't Hold Us - feat. Ray Dalton","spotify:artist:5BcAKTbp20cv7tC5VqPFoC","Macklemore & Ryan Lewis","spotify:album:76FXHQhTuT4QMIxfL09gX8","The Heist","1","2","258342","","2017-08-04T19:29:40Z"
"spotify:track:3U2tRhznEImDUnEBHQi33v","Let Us Go","spotify:artist:4l43uAIHyF5VzgonMKVkg7","Ryan Oakes","spotify:album:3jH6huzssnEHXCJr46DrNS","Let Us Go","1","1","232228","","2017-07-31T16:27:28Z"
"spotify:track:0dA2Mk56wEzDgegdC6R17g","Stay (with Alessia Cara)","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:2wUjUUtkb5lvLKcGKsKqsR","Zedd, Alessia Cara","spotify:album:0VMGOBhLrC5Q2bfZnrocVN","Stay","1","1","210090","","2017-03-03T12:33:07Z"
"spotify:track:41oWiFvBdeS6srKVl20hmt","I'd Love To Change The World - Matstubs Remix","spotify:artist:51V0E9ipJyIj7yFDkaLx96, spotify:artist:0chxndMxE0AhAeYED1Ay9d","Jetta, Matstubs","spotify:album:703OySirU43mehhI6e1VvS","I'd Love To Change The World (Matstubs Remix)","1","1","189973","","2017-02-04T18:25:28Z"
"spotify:track:47hs3xNT3iOGvgmC4eXBAi","Coming Home","spotify:artist:2QYEvpsWUOjqaYuxDPTCmV, spotify:artist:4utLUGcTvOJFr6aqIJtYWV","Diddy - Dirty Money, Skylar Grey","spotify:album:3IOhnJI294Jd2edw7ReJsy","Last Train To Paris (Deluxe)","1","18","238760","","2016-09-29T04:12:51Z"
